dates,con,gen,off,inj
2024-12-31 23:00:00+00:00,,,0.19325,0.0
2024-12-31 23:15:00+00:00,,,2.825,0.0
2024-12-31 23:30:00+00:00,,,17.4,0.0
2024-12-31 23:45:00+00:00,,,6.625,0.0
2025-01-01 00:00:00+00:00,,,9.4,0.0
2025-01-01 00:15:00+00:00,,,20.4,0.0
2025-01-01 00:30:00+00:00,,,19.325,0.0
2025-01-01 00:45:00+00:00,,,17.525,0.0
2025-01-01 01:00:00+00:00,,,5.85,0.0
2025-01-01 01:15:00+00:00,,,7.425,0.0
2025-01-01 01:30:00+00:00,,,4.05,0.0
2025-01-01 01:45:00+00:00,,,0.0,1.67
2025-01-01 02:00:00+00:00,,,26.25,0.0
2025-01-01 02:15:00+00:00,,,19.7,0.0
2025-01-01 02:30:00+00:00,,,18.325,0.0
2025-01-01 02:45:00+00:00,,,19.25,0.0
2025-01-01 03:00:00+00:00,,,15.7,0.0
2025-01-01 03:15:00+00:00,,,12.7,0.0
2025-01-01 03:30:00+00:00,,,0.0,6.6
2025-01-01 03:45:00+00:00,,,0.0,4.55
2025-01-01 04:00:00+00:00,,,31.25,0.0
2025-01-01 04:15:00+00:00,,,16.1,0.0
2025-01-01 04:30:00+00:00,,,14.35,0.0
2025-01-01 04:45:00+00:00,,,3.125,0.0
2025-01-01 05:00:00+00:00,,,29.0,0.0
2025-01-01 05:15:00+00:00,,,28.25,0.0
2025-01-01 05:30:00+00:00,,,0.0,8.3
2025-01-01 05:45:00+00:00,,,17.5,0.0
2025-01-01 06:00:00+00:00,,,18.425,0.0
2025-01-01 06:15:00+00:00,,,28.0,0.0
2025-01-01 06:30:00+00:00,,,8.325,0.0
2025-01-01 06:45:00+00:00,,,15.275,0.0
2025-01-01 07:00:00+00:00,,,49.5,0.0
2025-01-01 07:15:00+00:00,,,2.2125,0.0
2025-01-01 07:30:00+00:00,,,7.875,0.0
2025-01-01 07:45:00+00:00,,,20.1,0.0
2025-01-01 08:00:00+00:00,,,36.0,0.0
2025-01-01 08:15:00+00:00,,,0.0,17.0
2025-01-01 08:30:00+00:00,,,0.0,0.8125
2025-01-01 08:45:00+00:00,,,0.0,12.075
2025-01-01 09:00:00+00:00,,,0.0,5.15
2025-01-01 09:15:00+00:00,,,0.2775,0.0
2025-01-01 09:30:00+00:00,,,0.0,28.5
2025-01-01 09:45:00+00:00,,,0.0,49.5
2025-01-01 10:00:00+00:00,,,0.0,37.0
2025-01-01 10:15:00+00:00,,,0.0,31.0
2025-01-01 10:30:00+00:00,,,0.0,41.25
2025-01-01 10:45:00+00:00,,,0.0,37.0
2025-01-01 11:00:00+00:00,,,0.0,8.075
2025-01-01 11:15:00+00:00,,,0.0,2.2275
2025-01-01 11:30:00+00:00,,,0.0,3.725
2025-01-01 11:45:00+00:00,,,0.0,11.85
2025-01-01 12:00:00+00:00,,,21.025,0.0
2025-01-01 12:15:00+00:00,,,0.0,6.8
2025-01-01 12:30:00+00:00,,,0.0,2.975
2025-01-01 12:45:00+00:00,,,0.0,6.975
2025-01-01 13:00:00+00:00,,,0.0,1.61
2025-01-01 13:15:00+00:00,,,3.65,0.0
2025-01-01 13:30:00+00:00,,,0.0,0.13175
2025-01-01 13:45:00+00:00,,,0.0,2.775
2025-01-01 14:00:00+00:00,,,0.0,36.0
2025-01-01 14:15:00+00:00,,,0.0,24.4
2025-01-01 14:30:00+00:00,,,0.0,1.18
2025-01-01 14:45:00+00:00,,,0.0,2.8
2025-01-01 15:00:00+00:00,,,0.0,0.8975
2025-01-01 15:15:00+00:00,,,15.875,0.0
2025-01-01 15:30:00+00:00,,,22.225,0.0
2025-01-01 15:45:00+00:00,,,0.0,4.35
2025-01-01 16:00:00+00:00,,,17.55,0.0
2025-01-01 16:15:00+00:00,,,18.325,0.0
2025-01-01 16:30:00+00:00,,,16.125,0.0
2025-01-01 16:45:00+00:00,,,20.35,0.0
2025-01-01 17:00:00+00:00,,,33.25,0.0
2025-01-01 17:15:00+00:00,,,0.0,0.21275
2025-01-01 17:30:00+00:00,,,14.175,0.0
2025-01-01 17:45:00+00:00,,,18.125,0.0
2025-01-01 18:00:00+00:00,,,16.675,0.0
2025-01-01 18:15:00+00:00,,,26.25,0.0
2025-01-01 18:30:00+00:00,,,6.925,0.0
2025-01-01 18:45:00+00:00,,,15.5,0.0
2025-01-01 19:00:00+00:00,,,25.25,0.0
2025-01-01 19:15:00+00:00,,,29.75,0.0
2025-01-01 19:30:00+00:00,,,12.1,0.0
2025-01-01 19:45:00+00:00,,,1.245,0.0
2025-01-01 20:00:00+00:00,,,47.0,0.0
2025-01-01 20:15:00+00:00,,,9.05,0.0
2025-01-01 20:30:00+00:00,,,34.25,0.0
2025-01-01 20:45:00+00:00,,,38.75,0.0
2025-01-01 21:00:00+00:00,,,45.0,0.0
2025-01-01 21:15:00+00:00,,,48.25,0.0
2025-01-01 21:30:00+00:00,,,39.5,0.0
2025-01-01 21:45:00+00:00,,,18.675,0.0
2025-01-01 22:00:00+00:00,,,12.425,0.0
2025-01-01 22:15:00+00:00,,,14.325,0.0
2025-01-01 22:30:00+00:00,,,3.6,0.0
2025-01-01 22:45:00+00:00,,,2.0825,0.0
2025-01-01 23:00:00+00:00,,,0.0,2.625
2025-01-01 23:15:00+00:00,,,4.525,0.0
2025-01-01 23:30:00+00:00,,,5.025,0.0
2025-01-01 23:45:00+00:00,,,0.0,2.625
2025-01-02 00:00:00+00:00,,,5.275,0.0
2025-01-02 00:15:00+00:00,,,5.85,0.0
