dates,con,gen,off,inj,price [€/MWh],cleared_volume [MW]
2023-12-31 23:00:00+00:00,36.25,0.0,36.25,0.0,0.1,492.825
2023-12-31 23:15:00+00:00,35.0,0.0,35.0,0.0,0.1,492.825
2023-12-31 23:30:00+00:00,35.0,0.0,35.0,0.0,0.1,492.825
2023-12-31 23:45:00+00:00,36.875,0.0,36.875,0.0,0.1,492.825
2024-01-01 00:00:00+00:00,36.875,0.0,36.875,0.0,0.01,518.0
2024-01-01 00:15:00+00:00,37.5,0.0,37.5,0.0,0.01,518.0
2024-01-01 00:30:00+00:00,38.125,0.0,38.125,0.0,0.01,518.0
2024-01-01 00:45:00+00:00,36.25,0.0,36.25,0.0,0.01,518.0
2024-01-01 01:00:00+00:00,37.5,0.0,37.5,0.0,0.0,560.65
2024-01-01 01:15:00+00:00,38.125,0.0,38.125,0.0,0.0,560.65
2024-01-01 01:30:00+00:00,41.875,0.0,41.875,0.0,0.0,560.65
2024-01-01 01:45:00+00:00,40.0,0.0,40.0,0.0,0.0,560.65
2024-01-01 02:00:00+00:00,37.5,0.0,37.5,0.0,-0.01,665.775
2024-01-01 02:15:00+00:00,36.25,0.0,36.25,0.0,-0.01,665.775
2024-01-01 02:30:00+00:00,35.0,0.0,35.0,0.0,-0.01,665.775
2024-01-01 02:45:00+00:00,35.0,0.0,35.0,0.0,-0.01,665.775
2024-01-01 03:00:00+00:00,36.25,0.0,36.25,0.0,-0.03,721.6
2024-01-01 03:15:00+00:00,35.0,0.0,35.0,0.0,-0.03,721.6
2024-01-01 03:30:00+00:00,37.5,0.0,37.5,0.0,-0.03,721.6
2024-01-01 03:45:00+00:00,36.25,0.0,36.25,0.0,-0.03,721.6
2024-01-01 04:00:00+00:00,36.875,0.0,36.875,0.0,-0.02,697.425
2024-01-01 04:15:00+00:00,36.875,0.0,36.875,0.0,-0.02,697.425
2024-01-01 04:30:00+00:00,38.75,0.0,38.75,0.0,-0.02,697.425
2024-01-01 04:45:00+00:00,39.375,0.0,39.375,0.0,-0.02,697.425
2024-01-01 05:00:00+00:00,38.75,0.0,38.75,0.0,-0.05,674.975
2024-01-01 05:15:00+00:00,40.0,0.0,40.0,0.0,-0.05,674.975
2024-01-01 05:30:00+00:00,40.625,0.0,40.625,0.0,-0.05,674.975
2024-01-01 05:45:00+00:00,40.0,0.0,40.0,0.0,-0.05,674.975
2024-01-01 06:00:00+00:00,41.875,0.0,41.875,0.0,-0.02,589.75
2024-01-01 06:15:00+00:00,41.875,0.0,41.875,0.0,-0.02,589.75
2024-01-01 06:30:00+00:00,38.75,0.0,38.75,0.0,-0.02,589.75
2024-01-01 06:45:00+00:00,36.875,0.0,36.875,0.0,-0.02,589.75
2024-01-01 07:00:00+00:00,36.875,0.0,36.875,0.0,0.0,589.0
2024-01-01 07:15:00+00:00,37.5,0.0,37.5,0.0,0.0,589.0
2024-01-01 07:30:00+00:00,36.875,0.0,36.875,0.0,0.0,589.0
2024-01-01 07:45:00+00:00,36.57,0.32,36.25,0.0,0.0,589.0
2024-01-01 08:00:00+00:00,37.64,2.64,35.0,0.0,0.04,529.325
2024-01-01 08:15:00+00:00,36.99,8.24,28.75,0.0,0.04,529.325
2024-01-01 08:30:00+00:00,37.120000000000005,17.12,20.0,0.0,0.04,529.325
2024-01-01 08:45:00+00:00,36.815,27.439999999999998,9.375,0.0,0.04,529.325
2024-01-01 09:00:00+00:00,36.76,31.759999999999998,5.0,0.0,0.06,493.325
2024-01-01 09:15:00+00:00,37.224999999999994,31.599999999999998,5.625,0.0,0.06,493.325
2024-01-01 09:30:00+00:00,36.239999999999995,36.239999999999995,0.625,0.625,0.06,493.325
2024-01-01 09:45:00+00:00,37.24,42.24,0.0,5.0,0.06,493.325
2024-01-01 10:00:00+00:00,36.215,41.84,0.0,5.625,0.54,474.225
2024-01-01 10:15:00+00:00,34.475,47.6,0.0,13.125,0.54,474.225
2024-01-01 10:30:00+00:00,33.835,56.96,0.0,23.125,0.54,474.225
2024-01-01 10:45:00+00:00,33.105000000000004,72.48,0.0,39.375,0.54,474.225
2024-01-01 11:00:00+00:00,33.120000000000005,83.12,0.0,50.0,2.24,467.65
2024-01-01 11:15:00+00:00,32.724999999999994,79.6,0.0,46.875,2.24,467.65
2024-01-01 11:30:00+00:00,33.69,77.44,0.0,43.75,2.24,467.65
2024-01-01 11:45:00+00:00,33.11,69.36,0.0,36.25,2.24,467.65
2024-01-01 12:00:00+00:00,32.61,51.36,0.0,18.75,2.0,439.975
2024-01-01 12:15:00+00:00,32.355000000000004,60.480000000000004,0.0,28.125,2.0,439.975
2024-01-01 12:30:00+00:00,32.28,67.28,0.0,35.0,2.0,439.975
2024-01-01 12:45:00+00:00,32.275,60.4,0.0,28.125,2.0,439.975
2024-01-01 13:00:00+00:00,32.11,63.36,0.0,31.25,1.35,385.85
2024-01-01 13:15:00+00:00,32.39999999999998,162.39999999999998,0.0,130.0,1.35,385.85
2024-01-01 13:30:00+00:00,31.80000000000001,96.80000000000001,0.0,65.0,1.35,385.85
2024-01-01 13:45:00+00:00,32.59,53.84,0.0,21.25,1.35,385.85
2024-01-01 14:00:00+00:00,31.72,36.72,0.625,5.625,4.13,377.65
2024-01-01 14:15:00+00:00,31.775,32.4,1.875,2.5,4.13,377.65
2024-01-01 14:30:00+00:00,32.644999999999996,19.52,13.125,0.0,4.13,377.65
2024-01-01 14:45:00+00:00,32.489999999999995,16.24,16.25,0.0,4.13,377.65
2024-01-01 15:00:00+00:00,32.515,10.64,21.875,0.0,27.96,378.4
2024-01-01 15:15:00+00:00,31.945,6.32,25.625,0.0,27.96,378.4
2024-01-01 15:30:00+00:00,32.53,1.28,31.25,0.0,27.96,378.4
2024-01-01 15:45:00+00:00,31.875,0.0,31.875,0.0,27.96,378.4
2024-01-01 16:00:00+00:00,33.75,0.0,33.75,0.0,50.37,399.475
2024-01-01 16:15:00+00:00,33.125,0.0,33.125,0.0,50.37,399.475
2024-01-01 16:30:00+00:00,31.875,0.0,31.875,0.0,50.37,399.475
2024-01-01 16:45:00+00:00,34.375,0.0,34.375,0.0,50.37,399.475
2024-01-01 17:00:00+00:00,30.625,0.0,30.625,0.0,53.76,431.35
2024-01-01 17:15:00+00:00,33.75,0.0,33.75,0.0,53.76,431.35
