timestamp,price [€/MWh],cleared_volume [MW]
2023-12-31 23:00:00+00:00,10.76,34.45
2023-12-31 23:15:00+00:00,8.37,11.7
2023-12-31 23:30:00+00:00,-5.04,29.4
2023-12-31 23:45:00+00:00,-4.71,39.43
2024-01-01 00:00:00+00:00,13.43,19.95
2024-01-01 00:15:00+00:00,5.6,15.3
2024-01-01 00:30:00+00:00,-7.15,21.5
2024-01-01 00:45:00+00:00,-12.29,31.13
2024-01-01 01:00:00+00:00,10.45,
2024-01-01 01:15:00+00:00,10.42,5.25
2024-01-01 01:30:00+00:00,59.24,3.3
2024-01-01 01:45:00+00:00,-4.13,25.9
2024-01-01 02:00:00+00:00,20.45,
2024-01-01 02:15:00+00:00,5.92,
2024-01-01 02:30:00+00:00,1.08,6.98
2024-01-01 02:45:00+00:00,-0.95,10.4
2024-01-01 03:00:00+00:00,2.57,2.6
2024-01-01 03:15:00+00:00,4.58,3.58
2024-01-01 03:30:00+00:00,9.48,9.45
2024-01-01 03:45:00+00:00,7.53,15.28
2024-01-01 04:00:00+00:00,14.24,15.18
2024-01-01 04:15:00+00:00,9.12,11.08
2024-01-01 04:30:00+00:00,16.48,18.23
2024-01-01 04:45:00+00:00,26.44,8.48
2024-01-01 05:00:00+00:00,-1.06,21.13
2024-01-01 05:15:00+00:00,8.13,10.1
2024-01-01 05:30:00+00:00,43.73,3.03
2024-01-01 05:45:00+00:00,71.01,3.05
2024-01-01 06:00:00+00:00,-8.41,7.83
2024-01-01 06:15:00+00:00,10.13,14.28
2024-01-01 06:30:00+00:00,104.96,4.0
2024-01-01 06:45:00+00:00,110.7,10.05
2024-01-01 07:00:00+00:00,8.09,7.08
2024-01-01 07:15:00+00:00,12.67,8.68
2024-01-01 07:30:00+00:00,27.2,9.5
2024-01-01 07:45:00+00:00,40.72,3.53
2024-01-01 08:00:00+00:00,17.17,26.55
2024-01-01 08:15:00+00:00,19.27,21.03
2024-01-01 08:30:00+00:00,10.78,22.78
2024-01-01 08:45:00+00:00,14.65,29.58
2024-01-01 09:00:00+00:00,20.08,12.75
2024-01-01 09:15:00+00:00,9.96,11.85
2024-01-01 09:30:00+00:00,7.34,9.48
2024-01-01 09:45:00+00:00,-3.42,11.2
2024-01-01 10:00:00+00:00,5.15,14.05
2024-01-01 10:15:00+00:00,2.59,11.98
2024-01-01 10:30:00+00:00,2.65,13.33
2024-01-01 10:45:00+00:00,-2.71,12.78
2024-01-01 11:00:00+00:00,7.29,8.4
2024-01-01 11:15:00+00:00,0.11,15.4
2024-01-01 11:30:00+00:00,-21.15,26.43
2024-01-01 11:45:00+00:00,-15.21,32.48
2024-01-01 12:00:00+00:00,-5.73,32.9
2024-01-01 12:15:00+00:00,-2.54,11.03
2024-01-01 12:30:00+00:00,-7.94,18.68
2024-01-01 12:45:00+00:00,2.7,14.33
2024-01-01 13:00:00+00:00,-19.49,18.8
2024-01-01 13:15:00+00:00,-6.45,8.73
2024-01-01 13:30:00+00:00,6.84,7.88
2024-01-01 13:45:00+00:00,24.38,20.35
2024-01-01 14:00:00+00:00,-10.17,10.98
2024-01-01 14:15:00+00:00,32.68,9.98
2024-01-01 14:30:00+00:00,41.88,10.83
2024-01-01 14:45:00+00:00,45.42,12.5
2024-01-01 15:00:00+00:00,21.07,27.6
2024-01-01 15:15:00+00:00,39.45,18.4
2024-01-01 15:30:00+00:00,58.56,10.48
2024-01-01 15:45:00+00:00,64.24,24.35
2024-01-01 16:00:00+00:00,15.37,
2024-01-01 16:15:00+00:00,15.37,
2024-01-01 16:30:00+00:00,59.36,25.43
2024-01-01 16:45:00+00:00,64.86,44.15
2024-01-01 17:00:00+00:00,50.36,15.5
2024-01-01 17:15:00+00:00,53.4,13.33
2024-01-01 17:30:00+00:00,63.4,17.8
2024-01-01 17:45:00+00:00,53.52,24.4
2024-01-01 18:00:00+00:00,67.99,10.1
2024-01-01 18:15:00+00:00,54.89,20.03
2024-01-01 18:30:00+00:00,41.87,21.1
2024-01-01 18:45:00+00:00,43.43,14.43
2024-01-01 19:00:00+00:00,78.6,3.28
2024-01-01 19:15:00+00:00,152.89,9.03
2024-01-01 19:30:00+00:00,38.02,9.13
2024-01-01 19:45:00+00:00,-27.1,5.53
2024-01-01 20:00:00+00:00,51.73,38.3
2024-01-01 20:15:00+00:00,47.1,48.83
2024-01-01 20:30:00+00:00,45.0,58.48
2024-01-01 20:45:00+00:00,25.34,16.7
2024-01-01 21:00:00+00:00,45.71,30.05
2024-01-01 21:15:00+00:00,43.66,18.85
2024-01-01 21:30:00+00:00,25.67,30.4
2024-01-01 21:45:00+00:00,26.25,32.0
2024-01-01 22:00:00+00:00,67.02,
2024-01-01 22:15:00+00:00,39.58,
2024-01-01 22:30:00+00:00,-24.86,
2024-01-01 22:45:00+00:00,-81.02,6.0
2024-01-01 23:00:00+00:00,91.35,9.68
2024-01-01 23:15:00+00:00,4.67,6.18
2024-01-01 23:30:00+00:00,-47.07,
2024-01-01 23:45:00+00:00,-50.64,6.83
2024-01-02 00:00:00+00:00,24.94,29.03
2024-01-02 00:15:00+00:00,4.65,4.05
2024-01-02 00:30:00+00:00,-52.74,3.33
2024-01-02 00:45:00+00:00,-49.66,
2024-01-02 01:00:00+00:00,18.74,26.95
2024-01-02 01:15:00+00:00,-7.4,3.83
2024-01-02 01:30:00+00:00,-121.55,
2024-01-02 01:45:00+00:00,-121.55,
2024-01-02 02:00:00+00:00,21.67,18.05
2024-01-02 02:15:00+00:00,-27.97,4.05
2024-01-02 02:30:00+00:00,-13.61,3.25
2024-01-02 02:45:00+00:00,-28.81,3.7
2024-01-02 03:00:00+00:00,-56.13,
2024-01-02 03:15:00+00:00,16.43,3.15
2024-01-02 03:30:00+00:00,-23.35,4.1
2024-01-02 03:45:00+00:00,-10.74,2.53
2024-01-02 04:00:00+00:00,-25.14,2.68
2024-01-02 04:15:00+00:00,-33.42,
2024-01-02 04:30:00+00:00,-17.62,5.43
2024-01-02 04:45:00+00:00,28.46,33.45
2024-01-02 05:00:00+00:00,-127.6,9.85
2024-01-02 05:15:00+00:00,-106.25,
2024-01-02 05:30:00+00:00,29.07,
2024-01-02 05:45:00+00:00,43.28,7.55
2024-01-02 06:00:00+00:00,33.34,40.5
2024-01-02 06:15:00+00:00,40.06,34.2
2024-01-02 06:30:00+00:00,56.99,33.85
2024-01-02 06:45:00+00:00,65.86,52.0
2024-01-02 07:00:00+00:00,42.64,34.65
2024-01-02 07:15:00+00:00,51.52,19.45
2024-01-02 07:30:00+00:00,59.06,17.48
2024-01-02 07:45:00+00:00,61.14,40.35
2024-01-02 08:00:00+00:00,62.42,28.15
2024-01-02 08:15:00+00:00,63.62,19.63
2024-01-02 08:30:00+00:00,68.13,31.45
2024-01-02 08:45:00+00:00,64.89,39.0
2024-01-02 09:00:00+00:00,74.54,7.9
2024-01-02 09:15:00+00:00,70.76,10.25
2024-01-02 09:30:00+00:00,73.63,10.23
2024-01-02 09:45:00+00:00,75.03,9.9
